accepted_replan_count,collision_count,completion_step,completion_time_truncated,episode_index,event_counts,executor_arrival_step,executor_invalid_count,formal_training_run,found_step,max_steps,maximum_switch_distance,mean_replan_interval,mean_switch_distance,method,obstacle_event_count,obstacle_route_impacted_count,optimizer_invocation_count,partial_reallocation_attempt_count,partial_reallocation_success_count,partial_reallocation_success_rate,path_tracking_error,post_found_executor_delay_truncated,reject_reason_counts,rejected_replan_count,replan_count,runtime_seconds,same_agent_switch_within_10_steps,scenario_id,scenario_seed,status,steps_completed,success,target_found_time_truncated,target_route_source_counts,total_switch_distance,waypoint_stale_count,waypoint_switch_count
0,2,,400,0,{},,0,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,8.080669534160215,400,{},0,0,534.9219253999763,0,unknown_validation_m20_0001,2729,OK,400,False,400,{},0.0,0,0
0,253,,400,1,{},,0,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,6.457711467381516,400,{},0,0,567.2222023000359,0,unknown_validation_m20_0001,2729,OK,400,False,400,{},0.0,0,0
0,0,,400,2,{},,0,False,311,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,4.247318459341526,89,{},0,0,506.14336630003527,0,unknown_validation_m20_0001,2729,OK,400,False,311,{},0.0,0,0
0,234,,400,3,{},,0,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,4.062827872677827,400,{},0,0,323.73941169999307,0,unknown_validation_m20_0001,2729,OK,400,False,400,{},0.0,0,0
0,0,,400,0,{},,0,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,3.8598923497012425,400,{},0,0,591.8212951000314,0,unknown_validation_m20_0002,2730,OK,400,False,400,{},0.0,0,0
0,0,,400,1,{},,0,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,3.891264334806184,400,{},0,0,622.3283775000018,0,unknown_validation_m20_0002,2730,OK,400,False,400,{},0.0,0,0
0,0,,400,2,{},,0,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,5.964237334195294,400,{},0,0,552.1035662000068,0,unknown_validation_m20_0002,2730,OK,400,False,400,{},0.0,0,0
0,0,,400,3,{},,0,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,5.922807427465859,400,{},0,0,571.5332190000336,0,unknown_validation_m20_0002,2730,OK,400,False,400,{},0.0,0,0
0,0,273,273,0,{},,0,False,145,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,3.8954104841593304,255,{},0,0,279.2638758000103,0,unknown_validation_m20_0003,2731,OK,273,True,145,{},0.0,0,0
0,0,273,273,1,{},,0,False,145,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,3.8954915179686274,255,{},0,0,273.6705738999881,0,unknown_validation_m20_0003,2731,OK,273,True,145,{},0.0,0,0
0,0,238,238,2,{},,0,False,120,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,4.002786155108478,280,{},0,0,181.8645374000189,0,unknown_validation_m20_0003,2731,OK,238,True,120,{},0.0,0,0
0,0,,400,3,{},,0,False,142,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,5.658474847953421,258,{},0,0,239.88730750000104,0,unknown_validation_m20_0003,2731,OK,400,False,142,{},0.0,0,0
0,0,,400,0,{},,0,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,5.021712364230318,400,{},0,0,376.61721889994806,0,unknown_validation_m20_0004,2732,OK,400,False,400,{},0.0,0,0
0,0,,400,1,{},,0,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,5.162340376697854,400,{},0,0,367.434317599982,0,unknown_validation_m20_0004,2732,OK,400,False,400,{},0.0,0,0
0,0,,400,2,{},,0,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,4.724502347056745,400,{},0,0,391.1883604999748,0,unknown_validation_m20_0004,2732,OK,400,False,400,{},0.0,0,0
0,0,,400,3,{},,0,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,5.1509974770985965,400,{},0,0,379.80484029999934,0,unknown_validation_m20_0004,2732,OK,400,False,400,{},0.0,0,0
0,0,,400,0,{},,0,False,1,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,1.6392112687244724,399,{},0,0,233.74434030003613,0,unknown_validation_m20_0005,2733,OK,400,False,1,{},0.0,0,0
0,0,,400,1,{},,0,False,1,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,1.6391993480028462,399,{},0,0,239.20876410003984,0,unknown_validation_m20_0005,2733,OK,400,False,1,{},0.0,0,0
0,0,,400,2,{},,0,False,1,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,1.639192378266972,399,{},0,0,235.15805909998016,0,unknown_validation_m20_0005,2733,OK,400,False,1,{},0.0,0,0
0,0,,400,3,{},,0,False,1,400,0.0,400.0,0.0,No-BSER-static,0,0,0,0,0,0.0,1.639191192632603,399,{},0,0,233.3597635999904,0,unknown_validation_m20_0005,2733,OK,400,False,1,{},0.0,0,0
20,0,,400,0,{},,0,False,,400,17.233687939614086,20.0,6.2093662755509005,Periodic-BSER,0,0,20,0,0,0.0,1.9656438933543379,400,{},0,20,612.3866933999816,0,unknown_validation_m20_0001,2729,OK,400,False,400,{},310.468313777545,0,50
20,0,,400,1,{},,0,False,,400,17.233687939614086,20.0,6.057147739115578,Periodic-BSER,0,0,20,0,0,0.0,1.883463401976472,400,{},0,20,550.214080500009,0,unknown_validation_m20_0001,2729,OK,400,False,400,{},224.1144663472764,0,37
20,238,,400,2,{},,0,False,,400,17.233687939614086,20.0,5.2207074719194795,Periodic-BSER,0,0,20,0,0,0.0,1.9443441691150911,400,{},0,20,465.2800480000442,0,unknown_validation_m20_0001,2729,OK,400,False,400,{},140.95910174182595,0,27
20,238,,400,3,{},,0,False,,400,17.233687939614086,20.0,4.807505962880486,Periodic-BSER,0,0,20,0,0,0.0,1.9733347321885244,400,{},0,20,583.6341454999638,0,unknown_validation_m20_0001,2729,OK,400,False,400,{},187.49273255233896,0,39
20,0,,400,0,{},,0,False,,400,17.549928774784245,20.0,6.310800416220881,Periodic-BSER,0,0,20,0,0,0.0,2.2083972821711466,400,{},0,20,656.1368146999739,0,unknown_validation_m20_0002,2730,OK,400,False,400,{},271.3644178974979,0,43
20,0,,400,1,{},,0,False,,400,17.549928774784245,20.0,5.50375133933382,Periodic-BSER,0,0,20,0,0,0.0,2.246021603943927,400,{},0,20,681.909009199997,0,unknown_validation_m20_0002,2730,OK,400,False,400,{},258.67631294868954,0,47
20,0,,400,2,{},,0,False,,400,17.549928774784245,20.0,5.0516854738353585,Periodic-BSER,0,0,20,0,0,0.0,2.2975606432341222,400,{},0,20,589.3212999000098,0,unknown_validation_m20_0002,2730,OK,400,False,400,{},237.42921727026183,0,47
20,0,,400,3,{},,0,False,,400,17.549928774784245,20.0,6.332944356458161,Periodic-BSER,0,0,20,0,0,0.0,2.102185049488619,400,{},0,20,644.1408975999802,0,unknown_validation_m20_0002,2730,OK,400,False,400,{},284.98249604061726,0,45
20,0,,400,0,{},,0,False,,400,23.40939982143925,20.0,6.510983904422336,Periodic-BSER,0,0,20,0,0,0.0,2.1131015710890106,400,{},0,20,606.072765799996,0,unknown_validation_m20_0003,2731,OK,400,False,400,{},234.39542055920407,0,36
20,0,,400,1,{},,0,False,,400,23.40939982143925,20.0,5.973781046077884,Periodic-BSER,0,0,20,0,0,0.0,2.074373008875274,400,{},0,20,514.9343731999979,0,unknown_validation_m20_0003,2731,OK,400,False,400,{},191.1609934744923,0,32
14,0,286,286,2,{},280,0,False,136,400,23.40939982143925,20.0,5.09363774267636,Periodic-BSER,0,0,14,0,0,0.0,1.6664076839128799,144,{},0,14,241.25895980000496,0,unknown_validation_m20_0003,2731,OK,286,True,136,"{""standby:y02"": 1, ""standby:y03"": 1}",162.9964077656435,0,32
